-- phpMyAdmin SQL Dump
-- version 2.11.7
-- http://www.phpmyadmin.net
--
-- Host: localhost
-- Generation Time: Jul 10, 2008 at 12:20 PM
-- Server version: 5.0.58
-- PHP Version: 5.2.6

SET SQL_MODE="NO_AUTO_VALUE_ON_ZERO";

--
-- Database: `bender1`
--

-- --------------------------------------------------------

--
-- Table structure for table `tbl`
--

CREATE TABLE IF NOT EXISTS `tbl` (
  `id` int(11) NOT NULL auto_increment,
  `ti` int(11) NOT NULL,
  `os` tinyint(4) NOT NULL,
  `br` tinyint(4) NOT NULL,
  `cn` smallint(6) NOT NULL,
  `ip` int(11) NOT NULL,
  `ok` tinyint(4) NOT NULL,
  `sp` tinyint(4) NOT NULL default '0',
  `ma` tinyint(4) NOT NULL default '0',
  `mi` tinyint(4) NOT NULL default '0',
  UNIQUE KEY `ip` (`ip`),
  KEY `id` (`id`)
) ENGINE=MyISAM  DEFAULT CHARSET=latin1 AUTO_INCREMENT=15754 ;

--
-- Dumping data for table `tbl`
--

INSERT INTO `tbl` (`id`, `ti`, `os`, `br`, `cn`, `ip`, `ok`, `sp`, `ma`, `mi`) VALUES
(3167, 1215509832, 3, 2, 13, -906305436, 0, 0, 6, 0),
(3168, 1215509833, 5, 2, 153, 1023829044, 0, 0, 6, 0),
(3169, 1215509839, 2, 2, 13, -931850141, 0, 0, 7, 0),
(3170, 1215509856, 2, 2, 99, 1406676462, 0, 0, 7, 0),
(3171, 1215509874, 2, 2, 13, -1100840325, 0, 0, 7, 0),
(3172, 1215509900, 3, 2, 152, -1115407987, 0, 0, 6, 0),
(3173, 1215509913, 3, 2, 185, -725507523, 0, 0, 6, 0),
(3174, 1215509920, 2, 4, 185, 1315620680, 0, 0, 0, 0),
(3175, 1215509926, 2, 4, 136, 1495009918, 0, 0, 0, 0),
(3176, 1215509931, 2, 2, 48, 1947548283, 0, 0, 7, 0),
(3177, 1215509934, 2, 2, 153, 2081259080, 1, 2, 6, 0),
(3178, 1215509943, 2, 2, 194, 1502534349, 0, 0, 7, 0),
(3179, 1215509950, 2, 2, 210, 2088260073, 1, 3, 7, 0),
(3180, 1215509958, 2, 2, 103, -578414160, 0, 0, 7, 0),
(3181, 1215509972, 2, 2, 77, 1443013946, 0, 0, 7, 0),
(3182, 1215509999, 2, 2, 191, 1373991708, 0, 0, 7, 0),
(3183, 1215510006, 3, 2, 0, 168428069, 0, 0, 6, 0),
(3184, 1215510012, 2, 1, 185, 1372063308, 0, 0, 9, 25),
(3185, 1215510020, 2, 2, 67, 1395921302, 0, 0, 7, 0),
(3186, 1215510023, 3, 2, 0, -1407777251, 0, 0, 6, 0),
(3187, 1215510023, 2, 2, 67, 1477339668, 0, 0, 7, 0),
(3188, 1215510025, 2, 2, 38, -842167372, 0, 0, 7, 0),
(3189, 1215510041, 2, 1, 185, 1536198037, 0, 0, 9, 27),
(3190, 1215510074, 5, 3, 225, 1092338498, 0, 0, 2, 15),
(3191, 1215510093, 2, 3, 222, 1490450926, 0, 0, 2, 13),
(3192, 1215510095, 2, 3, 185, 1534777040, 0, 0, 2, 15),
(3193, 1215510097, 3, 2, 0, 1569727891, 0, 0, 6, 0),
(3194, 1215510117, 3, 2, 152, -1113839259, 0, 0, 6, 0),
(3195, 1215510118, 2, 3, 185, 1435320435, 0, 0, 2, 15),
(3196, 1215510127, 3, 2, 67, -645996128, 0, 0, 6, 0),
(3197, 1215510130, 3, 2, 225, 1209674261, 0, 0, 6, 0),
(3198, 1215510136, 3, 2, 24, 1317025875, 0, 0, 6, 0),
(3199, 1215510147, 5, 2, 13, -1098152726, 0, 0, 7, 0),
(3200, 1215510193, 2, 4, 222, 1299775705, 0, 0, 0, 0),
(3201, 1215510201, 3, 2, 152, -1108015555, 0, 0, 6, 0),
(3202, 1215510203, 3, 2, 67, 1477178927, 0, 0, 6, 0),
(3203, 1215510239, 2, 1, 222, 1385221777, 0, 0, 9, 10),
(3204, 1215510248, 2, 3, 225, 1203563093, 0, 0, 2, 15),
(3205, 1215510263, 3, 2, 103, 1023975020, 1, 2, 6, 0),
(3206, 1215510314, 2, 2, 31, -918352637, 0, 0, 7, 0),
(3207, 1215510318, 5, 2, 152, -912758880, 0, 0, 7, 0),
(3208, 1215510322, 5, 2, 161, 1414997998, 0, 0, 7, 0),
(3209, 1215510354, 3, 2, 210, -896198167, 0, 0, 6, 0),
(3210, 1215510362, 2, 2, 38, -824200903, 0, 0, 7, 0),
(3211, 1215510366, 3, 2, 134, -1005790735, 1, 2, 6, 0),
(3212, 1215510367, 5, 4, 15, 1350247154, 0, 0, 0, 0),
(3213, 1215510384, 2, 3, 100, 1026418425, 0, 0, 2, 3),
(3214, 1215510388, 5, 2, 161, 1400372018, 0, 0, 7, 0),
(3215, 1215510401, 3, 2, 102, 1539376455, 1, 2, 6, 0),
(3216, 1215510429, 2, 2, 239, 1410738266, 0, 0, 7, 0),
(3217, 1215510453, 3, 2, 48, -592313149, 0, 0, 6, 0),
(3218, 1215510455, 3, 2, 222, 1550897523, 0, 0, 6, 0),
(3219, 1215510468, 2, 2, 99, 1314666877, 0, 0, 7, 0),
(3220, 1215510483, 3, 2, 230, -1102311701, 0, 0, 6, 0),
(3221, 1215510486, 3, 2, 152, -1112077303, 0, 0, 6, 0),
(3222, 1215510492, 5, 4, 185, -1007714806, 0, 0, 0, 0),
(3223, 1215510496, 3, 2, 152, -912728445, 0, 0, 6, 0),
(3224, 1215510502, 2, 2, 132, 1294391980, 0, 0, 7, 0),
(3225, 1215510504, 2, 2, 100, 2107901453, 1, 2, 6, 0),
(3226, 1215510506, 5, 2, 179, 1371615286, 0, 0, 7, 0),
(3227, 1215510513, 3, 2, 161, 1389978275, 0, 0, 6, 0),
(3228, 1215510532, 3, 2, 49, -1095363758, 0, 0, 6, 0),
(3229, 1215510535, 2, 2, 174, 1394133793, 0, 0, 7, 0),
(3230, 1215510549, 2, 4, 99, 1430448363, 0, 0, 0, 0),
(3231, 1215510582, 3, 2, 77, 1451302135, 0, 0, 6, 0),
(3232, 1215510583, 2, 2, 225, 1112541314, 0, 0, 7, 0),
(3233, 1215510615, 3, 2, 79, 1490208281, 0, 0, 6, 0),
(3234, 1215510622, 2, 2, 67, 1335062282, 0, 0, 7, 0),
(3235, 1215510626, 3, 2, 0, -1091160697, 0, 0, 6, 0),
(3236, 1215510627, 2, 4, 99, 1409444273, 0, 0, 0, 0),
(3237, 1215510661, 2, 2, 152, -1112479808, 0, 0, 7, 0),
(3238, 1215510667, 2, 2, 38, 415976374, 0, 0, 7, 0),
(3239, 1215510683, 3, 2, 134, 1371574175, 0, 0, 6, 0),
(3240, 1215510684, 2, 2, 102, -728334326, 0, 0, 7, 0),
(3241, 1215510692, 2, 3, 225, 1205024708, 0, 0, 2, 15),
(3242, 1215510698, 2, 3, 99, 1409332897, 0, 0, 2, 15),
(3243, 1215510720, 2, 2, 152, -933475951, 0, 0, 7, 0),
(3244, 1215510723, 2, 2, 152, -911587225, 0, 0, 7, 0),
(3245, 1215510725, 2, 2, 13, -1104068814, 0, 0, 7, 0),
(3246, 1215510733, 2, 3, 99, -709726744, 0, 0, 2, 15),
(3247, 1215510750, 2, 4, 99, 1424770627, 0, 0, 0, 0),
(3248, 1215510774, 3, 2, 13, -1098288903, 0, 0, 6, 0),
(3249, 1215510776, 2, 1, 222, 1360650586, 0, 0, 9, 21),
(3250, 1215510794, 2, 2, 67, 1306541218, 0, 0, 7, 0),
(3251, 1215510798, 2, 2, 56, 1418611429, 0, 0, 7, 0),
(3252, 1215510807, 2, 2, 38, 415895866, 0, 0, 7, 0),
(3253, 1215510816, 5, 4, 77, 1451885743, 0, 0, 0, 0),
(3254, 1215510833, 2, 2, 152, -1113786538, 0, 0, 6, 0),
(3255, 1215510850, 2, 2, 99, 1333337330, 0, 0, 7, 0),
(3256, 1215510863, 5, 2, 0, -1408200478, 0, 0, 7, 0),
(3257, 1215510868, 2, 2, 179, 1435198194, 0, 0, 7, 0),
(3258, 1215510869, 2, 2, 67, -1636968291, 0, 0, 7, 0),
(3259, 1215510877, 3, 2, 48, -611862526, 0, 0, 6, 0),
(3260, 1215510893, 5, 4, 225, -1734334911, 0, 0, 0, 0),
(3261, 1215510895, 2, 2, 230, -1102295435, 1, 2, 6, 0),
(3262, 1215510903, 2, 2, 56, 1496519431, 0, 0, 7, 0),
(3263, 1215510939, 3, 2, 210, -878967173, 0, 0, 6, 0),
(3264, 1215510939, 2, 3, 6, -841358098, 0, 0, 2, 15),
(3265, 1215510954, 3, 2, 103, 1975756510, 1, 2, 6, 0),
(3266, 1215510971, 2, 2, 88, 1430962543, 0, 0, 7, 0),
(3267, 1215510977, 3, 2, 56, 1558429760, 0, 0, 6, 0),
(3268, 1215510983, 5, 2, 101, 1397126704, 0, 0, 7, 0),
(3269, 1215510994, 3, 2, 67, 1476959191, 1, 2, 6, 0),
(3270, 1215510995, 1, 2, 152, -1111475572, 0, 0, 6, 0),
(3271, 1215510997, 2, 2, 13, -1092603065, 0, 0, 6, 0),
(3272, 1215511000, 2, 2, 185, 1357710588, 0, 0, 7, 0),
(3273, 1215511027, 2, 2, 13, -1103910559, 0, 0, 6, 0),
(3274, 1215511032, 3, 2, 185, 1509556963, 0, 0, 6, 0),
(3275, 1215511070, 2, 2, 152, -1112645757, 1, 2, 6, 0),
(3276, 1215511077, 3, 2, 185, 1397051141, 0, 0, 6, 0),
(3277, 1215511084, 2, 2, 148, 1441322893, 0, 0, 7, 0),
(3278, 1215511087, 2, 2, 13, -1095285421, 0, 0, 7, 0),
(3279, 1215511107, 2, 2, 225, 1174841822, 0, 0, 7, 0),
(3280, 1215511111, 2, 2, 131, 1490013660, 0, 0, 7, 0),
(3281, 1215511112, 2, 2, 56, -648444763, 0, 0, 7, 0),
(3282, 1215511120, 3, 2, 102, -730496702, 0, 0, 6, 0),
(3283, 1215511125, 2, 2, 67, 1394874743, 0, 0, 7, 0),
(3284, 1215511132, 3, 2, 56, 1418717029, 0, 0, 6, 0),
(3285, 1215511139, 5, 4, 56, -648628986, 0, 0, 0, 0),
(3286, 1215511152, 2, 2, 74, 1399868753, 0, 0, 7, 0),
(3287, 1215511200, 3, 2, 225, 1095131286, 0, 0, 6, 0),
(3288, 1215511208, 5, 2, 225, 1156856545, 0, 0, 7, 0),
(3289, 1215511211, 2, 2, 153, 1986332422, 1, 2, 6, 0),
(3290, 1215511220, 3, 2, 134, 704212337, 1, 2, 6, 0),
(3291, 1215511223, 2, 2, 67, 1478129482, 0, 0, 7, 0),
(3292, 1215511251, 3, 2, 56, 1464794410, 0, 0, 6, 0),
(3293, 1215511269, 2, 4, 103, -757881657, 0, 0, 0, 0),
(3294, 1215511276, 3, 2, 13, -906167597, 0, 0, 6, 0),
(3295, 1215511287, 2, 2, 152, -1112574757, 0, 0, 7, 0),
(3296, 1215511296, 2, 2, 185, 1311053915, 0, 0, 7, 0),
(3297, 1215511299, 2, 2, 77, 1483274055, 1, 2, 6, 0),
(3298, 1215511322, 5, 4, 99, 1449507797, 0, 0, 0, 0),
(3299, 1215511325, 3, 2, 13, -906057914, 0, 0, 6, 0),
(3300, 1215511327, 2, 4, 185, 1505688581, 0, 0, 0, 0),
(3301, 1215511329, 3, 2, 122, 1546535210, 1, 4, 6, 0),
(3302, 1215511333, 2, 2, 56, 1418364557, 0, 0, 7, 0),
(3303, 1215511340, 5, 2, 185, 1371740953, 0, 0, 7, 0),
(3304, 1215511351, 2, 2, 0, -1408235736, 0, 0, 6, 0),
(3305, 1215511367, 2, 1, 94, -615678817, 0, 0, 9, 51),
(3306, 1215511372, 2, 3, 15, 1534173990, 0, 0, 2, 1),
(3307, 1215511381, 2, 3, 185, 1359310092, 0, 0, 2, 15),
(3308, 1215511384, 2, 2, 210, -562334800, 0, 0, 7, 0),
(3309, 1215511395, 3, 2, 99, 1423974407, 0, 0, 6, 0),
(3310, 1215511404, 2, 2, 22, 1309969427, 1, 3, 6, 0),
(3311, 1215511429, 2, 2, 185, 1412057261, 1, 7, 7, 0),
(3312, 1215511458, 2, 2, 179, -719971190, 0, 0, 7, 0),
(3313, 1215511460, 3, 2, 103, 1001661963, 0, 0, 6, 0),
(3314, 1215511460, 3, 2, 67, 1361663218, 0, 0, 6, 0),
(3315, 1215511472, 2, 2, 56, 1312162559, 0, 0, 7, 0),
(3316, 1215511482, 2, 2, 0, -1092454489, 0, 0, 7, 0),
(3317, 1215511483, 2, 2, 74, -731696238, 0, 0, 7, 0),
(3318, 1215511488, 2, 2, 185, 1536196910, 0, 0, 7, 0),
(3319, 1215511491, 2, 2, 77, 1377550071, 0, 0, 7, 0),
(3320, 1215511500, 3, 2, 67, 1493677176, 0, 0, 6, 0),
(3321, 1215511500, 3, 2, 227, 1397065658, 1, 5, 6, 0),
(3322, 1215511513, 2, 2, 185, 1332701843, 0, 0, 7, 0),
(3323, 1215511534, 3, 2, 134, 704283338, 0, 0, 6, 0),
(3324, 1215511545, 2, 2, 108, 1327010347, 0, 0, 7, 0),
(3325, 1215511557, 2, 2, 99, 1466000506, 0, 0, 7, 0),
(3326, 1215511568, 3, 2, 0, -1092469287, 0, 0, 6, 0),
(3327, 1215511570, 5, 2, 225, 1661129309, 0, 0, 7, 0),
(3328, 1215511572, 5, 4, 161, 1372407506, 0, 0, 0, 0),
(3329, 1215511577, 3, 2, 152, -1112318516, 0, 0, 6, 0),
(3330, 1215511581, 1, 3, 56, 1551175975, 0, 0, 2, 15),
(3331, 1215511586, 2, 2, 67, 1371029611, 0, 0, 7, 0),
(3332, 1215511587, 2, 2, 77, 1444490208, 0, 0, 7, 0),
(3333, 1215511591, 2, 2, 67, 1343899255, 0, 0, 7, 0),
(3334, 1215511596, 2, 1, 222, 1550929669, 0, 0, 9, 25),
(3335, 1215511610, 3, 2, 13, -906355892, 0, 0, 6, 0),
(3336, 1215511617, 3, 2, 0, -1408171743, 0, 0, 6, 0),
(3337, 1215511629, 2, 3, 0, -1407907175, 0, 0, 2, 15),
(3338, 1215511636, 3, 2, 67, 1394943417, 0, 0, 6, 0),
(3339, 1215511653, 2, 2, 108, 1460244359, 0, 0, 7, 0),
(3340, 1215511657, 3, 2, 67, 1353591312, 0, 0, 6, 0),
(3341, 1215511658, 3, 2, 77, 1380358662, 1, 2, 6, 0),
(3342, 1215511667, 2, 2, 38, 1245402527, 0, 0, 7, 0),
(3343, 1215511688, 3, 2, 0, -1062729980, 0, 0, 6, 0),
(3344, 1215511697, 3, 2, 103, -894326374, 0, 0, 6, 0),
(3345, 1215511698, 3, 2, 226, -1098478318, 0, 0, 6, 0),
(3346, 1215511725, 2, 2, 13, -931853182, 0, 0, 7, 0),
(3347, 1215511725, 3, 2, 67, 1404357048, 0, 0, 6, 0),
(3348, 1215511728, 3, 2, 67, 1305496796, 0, 0, 6, 0),
(3349, 1215511738, 3, 2, 15, 1350082846, 0, 0, 6, 0),
(3350, 1215511740, 2, 2, 108, 1326182250, 0, 0, 7, 0),
(3351, 1215511740, 1, 2, 225, -1800338990, 0, 0, 6, 0),
(3352, 1215511753, 2, 3, 99, 1380803076, 0, 0, 2, 14),
(3353, 1215511756, 3, 2, 46, -934057960, 0, 0, 6, 0),
(3354, 1215511776, 3, 2, 187, 1466788433, 0, 0, 6, 0),
(3355, 1215511777, 5, 2, 185, -1030077732, 0, 0, 7, 0),
(3356, 1215511786, 3, 2, 22, 1389661942, 0, 0, 6, 0),
(3357, 1215511802, 2, 2, 225, 403345081, 0, 0, 7, 0),
(3358, 1215511827, 2, 2, 77, 1451322667, 0, 0, 7, 0),
(3359, 1215511837, 2, 2, 13, -1094831253, 0, 0, 7, 0),
(3360, 1215511869, 2, 2, 225, -801952302, 0, 0, 7, 0),
(3361, 1215511870, 3, 2, 103, -578753385, 1, 4, 6, 0),
(3362, 1215511871, 3, 2, 46, -933832863, 0, 0, 6, 0),
(3363, 1215511885, 3, 2, 48, 989333349, 1, 3, 6, 0),
(3364, 1215511888, 2, 2, 161, 1397828990, 0, 0, 7, 0),
(3365, 1215511898, 2, 2, 152, -1112941629, 0, 0, 7, 0),
(3366, 1215511905, 2, 2, 185, 1311023193, 0, 0, 7, 0),
(3367, 1215511908, 2, 2, 152, -913310915, 1, 3, 7, 0),
(3368, 1215511925, 2, 2, 77, 1369049703, 0, 0, 7, 0),
(3369, 1215511927, 2, 1, 99, 1449472187, 0, 0, 9, 26),
(3370, 1215511931, 2, 2, 185, 1408101368, 0, 0, 7, 0),
(3371, 1215511942, 3, 2, 49, -1098882659, 0, 0, 6, 0),
(3372, 1215511944, 2, 2, 191, 1409114065, 0, 0, 7, 0),
(3373, 1215511945, 2, 2, 77, 1298651984, 0, 0, 7, 0),
(3374, 1215511949, 2, 2, 152, -912766185, 0, 0, 7, 0),
(3375, 1215511962, 2, 2, 56, -639597154, 0, 0, 7, 0),
(3376, 1215511966, 2, 2, 225, 1165887769, 0, 0, 7, 0),
(3377, 1215511972, 2, 2, 56, 1496711071, 1, 3, 7, 0),
(3378, 1215511976, 3, 2, 64, 703119850, 0, 0, 6, 0),
(3379, 1215511978, 2, 3, 185, 1315635158, 0, 0, 2, 15),
(3380, 1215511986, 3, 2, 152, -935818388, 0, 0, 6, 0),
(3381, 1215511999, 3, 2, 225, 1260986070, 0, 0, 6, 0),
(3382, 1215512020, 1, 2, 67, 1395510460, 0, 0, 6, 0),
(3383, 1215512046, 2, 3, 185, 1536305277, 0, 0, 2, 15),
(3384, 1215512057, 2, 2, 225, 1217999684, 0, 0, 7, 0),
(3385, 1215512073, 2, 2, 46, -1104211538, 0, 0, 7, 0),
(3386, 1215512077, 5, 3, 56, 1419988027, 0, 0, 2, 15),
(3387, 1215512082, 3, 2, 217, 1491660230, 0, 0, 7, 0),
(3388, 1215512090, 2, 2, 13, -1098362233, 0, 0, 7, 0),
(3389, 1215512100, 2, 2, 13, -1091240552, 0, 0, 7, 0),
(3390, 1215512101, 3, 2, 55, 1486009362, 1, 2, 6, 0),
(3391, 1215512111, 2, 1, 174, 1408132682, 0, 0, 9, 27),
(3392, 1215512139, 3, 2, 152, -1149028357, 0, 0, 6, 0),
(3393, 1215512146, 3, 2, 15, 1534154960, 0, 0, 6, 0),
(3394, 1215512152, 3, 2, 67, 1473897030, 1, 2, 6, 0),
(3395, 1215512159, 5, 4, 225, 1281332318, 0, 0, 0, 0),
(3396, 1215512172, 2, 2, 225, -808946618, 0, 0, 7, 0),
(3397, 1215512189, 4, 2, 0, -1408195057, 0, 0, 6, 0),
(3398, 1215512214, 5, 2, 13, -1106206333, 0, 0, 7, 0),
(3399, 1215512215, 3, 2, 22, 1427848347, 0, 0, 6, 0),
(3400, 1215512228, 2, 2, 225, 1218779910, 1, 6, 6, 0),
(3401, 1215512231, 3, 2, 222, -706485728, 0, 0, 6, 0),
(3402, 1215512240, 3, 2, 185, 1307053901, 1, 6, 6, 0),
(3403, 1215512277, 2, 3, 185, 1297061397, 0, 0, 2, 15),
(3404, 1215512281, 3, 2, 15, 1445017712, 0, 0, 6, 0),
(3405, 1215512292, 1, 2, 185, 1049421570, 0, 0, 6, 0),
(3406, 1215512294, 2, 2, 13, -906330465, 0, 0, 7, 0),
(3407, 1215512297, 5, 4, 77, -1778466622, 0, 0, 0, 0),
(3408, 1215512298, 2, 2, 179, 1566967863, 0, 0, 7, 0),
(3409, 1215512309, 2, 2, 185, 1336240287, 0, 0, 7, 0),
(3410, 1215512322, 2, 3, 222, -1054378366, 0, 0, 2, 15),
(3411, 1215512343, 3, 2, 225, 1076334626, 0, 0, 6, 0),
(3412, 1215512349, 2, 2, 152, -1112828663, 0, 0, 7, 0),
(3413, 1215512364, 5, 2, 77, 1376151503, 0, 0, 7, 0),
(3414, 1215512364, 3, 2, 225, 1133412885, 0, 0, 6, 0),
(3415, 1215512367, 2, 2, 67, -728678650, 1, 3, 7, 0),
(3416, 1215512382, 3, 2, 13, -1105323568, 0, 0, 6, 0),
(3417, 1215512388, 2, 3, 103, 2079080146, 0, 0, 2, 15),
(3418, 1215512391, 2, 2, 232, 214250168, 0, 0, 7, 0),
(3419, 1215512393, 2, 2, 56, 1292642596, 1, 2, 6, 0),
(3420, 1215512401, 2, 2, 13, -934159794, 0, 0, 7, 0),
(3421, 1215512414, 2, 2, 49, -1098880178, 1, 2, 6, 0),
(3422, 1215512417, 3, 2, 152, -1113826842, 0, 0, 6, 0),
(3423, 1215512417, 3, 2, 152, -913735192, 0, 0, 6, 0),
(3424, 1215512418, 2, 2, 38, 405135406, 0, 0, 7, 0),
(3425, 1215512424, 2, 2, 222, 1550878994, 0, 0, 7, 0),
(3426, 1215512428, 3, 2, 46, -1094441651, 0, 0, 6, 0),
(3427, 1215512438, 3, 2, 152, -1114461890, 0, 0, 6, 0),
(3428, 1215512448, 2, 2, 210, -896198166, 1, 3, 7, 0),
(3429, 1215512448, 2, 3, 99, -1008439295, 0, 0, 2, 15),
(3430, 1215512449, 2, 2, 210, -896198175, 0, 0, 7, 0),
(3431, 1215512451, 3, 2, 152, -1112283177, 0, 0, 6, 0),
(3432, 1215512452, 3, 2, 61, 702353864, 0, 0, 6, 0),
(3433, 1215512466, 3, 2, 217, 1373088997, 1, 5, 6, 0),
(3434, 1215512468, 2, 3, 63, 1384325540, 0, 0, 2, 14),
(3435, 1215512476, 2, 2, 56, 1481110888, 1, 2, 6, 0),
(3436, 1215512516, 3, 2, 217, 1319499470, 0, 0, 6, 0),
(3437, 1215512539, 5, 2, 174, 1394446856, 0, 0, 7, 0),
(3438, 1215512544, 3, 2, 152, -1114450102, 0, 0, 6, 0),
(3439, 1215512554, 5, 2, 13, -1098150572, 0, 0, 7, 0),
(3440, 1215512577, 3, 2, 108, -726946832, 0, 0, 6, 0),
(3441, 1215512586, 3, 2, 63, -737735345, 0, 0, 6, 0),
(3442, 1215512594, 3, 2, 13, -1103967372, 0, 0, 6, 0),
(3443, 1215512595, 2, 2, 4, 1449250832, 0, 0, 7, 0),
(3444, 1215512616, 3, 2, 99, -711101635, 0, 0, 6, 0),
(3445, 1215512650, 2, 2, 108, 1379643350, 0, 0, 7, 0),
(3446, 1215512666, 2, 2, 152, -1113155418, 1, 7, 7, 0),
(3447, 1215512668, 2, 2, 152, -911410927, 0, 0, 7, 0),
(3448, 1215512670, 3, 2, 233, 2064819099, 1, 2, 6, 0),
(3449, 1215512690, 2, 1, 185, 1435300402, 0, 0, 9, 26),
(3450, 1215512692, 2, 2, 15, -726200857, 0, 0, 7, 0),
(3451, 1215512703, 2, 2, 67, 1502414770, 0, 0, 7, 0),
(3452, 1215512704, 2, 1, 185, -644465555, 0, 0, 9, 27),
(3453, 1215512704, 2, 2, 99, 1501998995, 0, 0, 7, 0),
(3454, 1215512721, 2, 4, 74, 1304454981, 0, 0, 0, 0),
(3455, 1215512732, 2, 2, 185, 1505684777, 0, 0, 7, 0),
(3456, 1215512734, 3, 2, 103, 1975935987, 0, 0, 6, 0),
(3457, 1215512735, 2, 2, 38, 415953598, 0, 0, 7, 0),
(3458, 1215512738, 3, 2, 13, -906357244, 0, 0, 6, 0),
(3459, 1215512745, 3, 2, 13, -1098174678, 0, 0, 6, 0),
(3460, 1215512751, 2, 2, 152, -1114937030, 0, 0, 7, 0),
(3461, 1215512754, 2, 2, 108, -641268382, 0, 0, 7, 0),
(3462, 1215512760, 3, 2, 74, 1498482433, 0, 0, 6, 0),
(3463, 1215512768, 3, 2, 233, 2064757490, 1, 2, 6, 0),
(3464, 1215512776, 3, 2, 134, -1005790745, 0, 0, 6, 0),
(3465, 1215512776, 2, 2, 152, -1114703134, 0, 0, 7, 0),
(3466, 1215512787, 2, 3, 99, 1475478111, 0, 0, 2, 15),
(3467, 1215512787, 3, 2, 103, 2057410053, 0, 0, 6, 0),
(3468, 1215512799, 2, 2, 21, 999842982, 0, 0, 6, 0),
(3469, 1215512800, 3, 2, 108, 1372607454, 0, 0, 6, 0),
(3470, 1215512821, 2, 2, 56, 1437826641, 0, 0, 7, 0),
(3471, 1215512845, 3, 2, 13, -1095661293, 0, 0, 6, 0),
(3472, 1215512851, 2, 2, 152, -1113492701, 0, 0, 7, 0),
(3473, 1215512866, 3, 2, 61, 702354298, 0, 0, 6, 0),
(3474, 1215512868, 3, 2, 67, 1429664840, 1, 2, 6, 0),
(3475, 1215512872, 5, 3, 77, 1298450199, 0, 0, 2, 14),
(3476, 1215512878, 3, 2, 64, 703175623, 0, 0, 6, 0),
(3477, 1215512898, 2, 2, 77, 1451539507, 0, 0, 7, 0),
(3478, 1215512900, 2, 2, 108, -1766718858, 0, 0, 7, 0),
(3479, 1215512901, 2, 2, 185, 1333295372, 0, 0, 7, 0),
(3480, 1215512915, 3, 2, 31, -1115909996, 0, 0, 6, 0),
(3481, 1215512921, 3, 2, 13, -1105277858, 0, 0, 6, 0),
(3482, 1215512934, 3, 2, 152, -1112914183, 0, 0, 6, 0),
(3483, 1215512947, 2, 2, 38, 1676458809, 0, 0, 7, 0),
(3484, 1215512949, 2, 2, 56, 1413396674, 0, 0, 6, 0),
(3485, 1215512950, 2, 2, 67, 1477125770, 0, 0, 7, 0),
(3486, 1215512963, 2, 2, 230, -1094268588, 0, 0, 7, 0),
(3487, 1215512968, 2, 2, 225, 1075470938, 0, 0, 7, 0),
(3488, 1215512968, 2, 1, 185, 1509649159, 0, 0, 9, 24),
(3489, 1215512973, 3, 2, 222, -1023069260, 0, 0, 6, 0),
(3490, 1215512983, 2, 4, 99, 1430391460, 0, 0, 0, 0),
(3491, 1215512984, 2, 3, 174, 1393268922, 0, 0, 2, 15),
(3492, 1215512987, 2, 3, 100, -562292668, 0, 0, 2, 15),
(3493, 1215512991, 2, 2, 56, -648907255, 0, 0, 7, 0),
(3494, 1215512998, 2, 4, 99, 1449504781, 0, 0, 0, 0),
(3495, 1215513006, 2, 2, 77, 1533629726, 0, 0, 7, 0),
(3496, 1215513021, 3, 2, 56, 1419193302, 0, 0, 6, 0),
(3497, 1215513043, 3, 2, 225, -783290012, 0, 0, 6, 0),
(3498, 1215513051, 3, 2, 226, -908259934, 0, 0, 6, 0),
(3499, 1215513072, 3, 2, 67, 1477750686, 0, 0, 6, 0),
(3500, 1215513105, 2, 2, 56, 1529345343, 0, 0, 7, 0),
(3501, 1215513106, 3, 2, 152, -1115359241, 0, 0, 6, 0),
(3502, 1215513113, 3, 2, 102, -1066001411, 0, 0, 6, 0),
(3503, 1215513114, 3, 2, 185, 1437339530, 0, 0, 6, 0),
(3504, 1215513118, 3, 2, 152, -913742018, 0, 0, 7, 0),
(3505, 1215513142, 3, 2, 13, -1095853130, 0, 0, 7, 0),
(3506, 1215513154, 2, 2, 185, -712745300, 0, 0, 7, 0),
(3507, 1215513175, 2, 2, 108, 1326717684, 0, 0, 7, 0),
(3508, 1215513180, 2, 2, 152, -912222663, 0, 0, 7, 0),
(3509, 1215513180, 2, 2, 64, 703179702, 0, 0, 7, 0),
(3510, 1215513184, 2, 2, 161, 1400178147, 0, 0, 6, 0),
(3511, 1215513188, 3, 2, 31, -1122014681, 0, 0, 6, 0),
(3512, 1215513190, 3, 2, 56, 1413309166, 0, 0, 6, 0),
(3513, 1215513198, 3, 2, 13, -1098284409, 0, 0, 6, 0),
(3514, 1215513209, 5, 2, 31, -921967888, 0, 0, 7, 0),
(3515, 1215513227, 3, 2, 13, -1439455162, 1, 2, 6, 0),
(3516, 1215513232, 2, 2, 67, 1348942487, 1, 4, 6, 0),
(3517, 1215513241, 2, 2, 56, 1353425590, 0, 0, 7, 0),
(3518, 1215513241, 2, 2, 56, 1437865934, 0, 0, 7, 0),
(3519, 1215513243, 2, 2, 0, -1062729050, 0, 0, 7, 0),
(3520, 1215513267, 3, 2, 230, -1102471776, 1, 2, 6, 0),
(3521, 1215513285, 3, 2, 152, -935191137, 0, 0, 6, 0),
